ubigeo,ano,semana,p_fal,p_vivax,date
160101,2019,37,0,9,2019-09-16
160101,2019,38,1,7,2019-09-23
160101,2019,39,1,9,2019-09-30
160101,2019,40,0,4,2019-10-07
160101,2019,41,0,8,2019-10-14
160101,2019,42,0,3,2019-10-21
160101,2019,43,0,8,2019-10-28
160101,2019,44,0,7,2019-11-04
160101,2019,45,1,3,2019-11-11
160101,2019,46,0,12,2019-11-18
160101,2019,47,0,5,2019-11-25
160101,2019,48,1,3,2019-12-02
160101,2019,49,0,14,2019-12-09
160101,2019,50,0,13,2019-12-16
160101,2019,51,0,10,2019-12-23
160101,2019,52,0,3,2019-12-30
160101,2020,1,1,3,2020-01-06
160101,2020,2,2,4,2020-01-13
160101,2020,3,0,4,2020-01-20
160101,2020,4,0,11,2020-01-27
160101,2020,5,0,2,2020-02-03
160101,2020,6,1,5,2020-02-10
160101,2020,7,0,2,2020-02-17
160101,2020,8,0,4,2020-02-24
160101,2020,9,0,5,2020-03-02
160101,2020,10,0,3,2020-03-09
160101,2020,11,0,4,2020-03-16
160101,2020,12,0,3,2020-03-23
160101,2020,13,0,2,2020-03-30
160101,2020,15,0,2,2020-04-13
160101,2020,16,0,2,2020-04-20
160101,2020,17,0,1,2020-04-27
160101,2020,18,0,2,2020-05-04
160101,2020,19,0,1,2020-05-11
160101,2020,20,1,2,2020-05-18
160101,2020,21,0,1,2020-05-25
160101,2020,22,0,5,2020-06-01
160101,2020,23,0,4,2020-06-08
160101,2020,24,1,6,2020-06-15
160101,2020,25,0,1,2020-06-22
160101,2020,26,0,3,2020-06-29
160101,2020,27,0,2,2020-07-06
160101,2020,28,0,2,2020-07-13
160101,2020,29,0,1,2020-07-20
160101,2020,30,0,6,2020-07-27
160101,2020,31,0,5,2020-08-03
160101,2020,32,0,1,2020-08-10
160101,2020,35,0,1,2020-08-31
160101,2020,36,4,7,2020-09-07
160101,2020,37,1,6,2020-09-14
160101,2020,38,0,2,2020-09-21
160101,2020,39,0,5,2020-09-28
160101,2020,40,1,3,2020-10-05
160101,2020,41,0,6,2020-10-12
160101,2020,42,0,1,2020-10-19
160101,2020,43,0,2,2020-10-26
160101,2020,44,0,7,2020-11-02
160101,2020,45,0,6,2020-11-09
160101,2020,46,0,9,2020-11-16
160101,2020,47,0,6,2020-11-23
160101,2020,48,2,3,2020-11-30
160101,2020,49,0,4,2020-12-07
160101,2020,50,1,12,2020-12-14
160101,2020,51,0,5,2020-12-21
160101,2020,52,4,0,2020-12-28
160101,2020,53,0,4,2021-01-04
160101,2021,1,0,6,2021-01-04
160101,2021,2,0,2,2021-01-11
160101,2021,3,0,1,2021-01-18
160101,2021,5,0,4,2021-02-01
160101,2021,6,0,1,2021-02-08
160101,2021,7,0,2,2021-02-15
160101,2021,8,0,2,2021-02-22
160101,2021,10,0,4,2021-03-08
160101,2021,11,0,3,2021-03-15
160101,2021,12,0,1,2021-03-22
160101,2021,14,0,1,2021-04-05
160101,2021,16,0,4,2021-04-19
160101,2021,17,0,1,2021-04-26
160101,2021,18,0,1,2021-05-03
160101,2021,19,1,0,2021-05-10
160101,2021,20,0,2,2021-05-17
160101,2021,21,0,1,2021-05-24
160101,2021,22,0,3,2021-05-31
160101,2021,24,0,1,2021-06-14
160101,2021,25,0,3,2021-06-21
160101,2021,26,0,1,2021-06-28
160101,2021,27,2,0,2021-07-05
160101,2021,28,0,1,2021-07-12
160101,2021,29,1,1,2021-07-19
160101,2021,31,0,2,2021-08-02
160101,2021,32,0,6,2021-08-09
160101,2021,33,0,1,2021-08-16
160101,2021,34,0,2,2021-08-23
160101,2021,35,1,3,2021-08-30
160101,2021,36,0,1,2021-09-06
160101,2021,37,0,1,2021-09-13
160101,2021,38,0,1,2021-09-20
160101,2021,39,1,1,2021-09-27
160101,2021,40,0,5,2021-10-04
160101,2021,42,0,1,2021-10-18
160101,2021,43,1,0,2021-10-25
160101,2021,44,0,4,2021-11-01
160101,2021,45,0,12,2021-11-08
160101,2021,46,0,2,2021-11-15
160101,2021,47,0,1,2021-11-22
160101,2021,48,1,3,2021-11-29
160101,2021,49,0,12,2021-12-06
160101,2021,50,1,5,2021-12-13
160101,2021,51,1,2,2021-12-20
160101,2021,52,0,1,2021-12-27
160101,2022,1,0,6,2022-01-03
160101,2022,2,0,6,2022-01-10
160101,2022,3,0,3,2022-01-17
160101,2022,4,0,7,2022-01-24
160101,2022,5,0,7,2022-01-31
160101,2022,6,0,4,2022-02-07
160101,2022,7,0,2,2022-02-14
160101,2022,8,0,6,2022-02-21
160101,2022,9,0,8,2022-02-28
160101,2022,10,0,4,2022-03-07
160101,2022,11,0,6,2022-03-14
160101,2022,12,0,3,2022-03-21
160101,2022,13,0,11,2022-03-28
160101,2022,14,1,2,2022-04-04
160101,2022,15,0,3,2022-04-11
160101,2022,16,0,8,2022-04-18
160101,2022,17,0,10,2022-04-25
160101,2022,18,0,20,2022-05-02
160101,2022,19,1,6,2022-05-09
160101,2022,20,0,11,2022-05-16
160101,2022,21,1,9,2022-05-23
160101,2022,22,0,14,2022-05-30
160101,2022,23,1,15,2022-06-06
160101,2022,24,0,14,2022-06-13
160101,2022,25,0,6,2022-06-20
160101,2022,26,0,10,2022-06-27
160101,2022,27,0,16,2022-07-04
160101,2022,28,0,8,2022-07-11
160101,2022,29,0,3,2022-07-18
160101,2022,30,1,1,2022-07-25
160101,2022,31,0,2,2022-08-01
160101,2022,32,0,1,2022-08-08
160101,2022,33,0,7,2022-08-15
160101,2022,34,0,3,2022-08-22
160101,2022,35,0,9,2022-08-29
160101,2022,36,0,4,2022-09-05
160101,2022,37,0,6,2022-09-12
160101,2022,38,0,4,2022-09-19
160101,2022,39,0,2,2022-09-26
160101,2022,40,0,6,2022-10-03
160101,2022,41,1,6,2022-10-10
160101,2022,42,0,3,2022-10-17
160101,2022,43,0,5,2022-10-24
160101,2022,44,0,10,2022-10-31
160101,2022,45,1,10,2022-11-07
160101,2022,46,0,10,2022-11-14
160101,2022,47,0,10,2022-11-21
160101,2022,48,0,2,2022-11-28
160101,2022,49,0,3,2022-12-05
160101,2022,50,0,5,2022-12-12
